(0, 16298184)
(1, 15706045)
(2, 14718637)
(3, 15705785)
(4, 15836344)
(5, 14981033)
(6, 12546433)
(7, 13335949)
(8, 16165048)
(9, 16165048)
(10, 16033721)
(11, 15837112)
(12, 15771066)
(13, 15574200)
(14, 15179703)
(15, 14850738)
(16, 15179701)
(17, 15245494)
(18, 15048117)
(19, 14653359)
(20, 14784432)
(21, 15244983)
(22, 15508157)
(23, 15508157)
(24, 15508416)
(25, 15442623)
(26, 15376831)
(27, 15376831)
(28, 15245761)
(29, 15443140)
(30, 15903691)
(31, 16560081)
(32, 15899332)
(33, 15042226)
(34, 14319271)
(35, 14779822)
(36, 15109298)
(37, 14977712)
(38, 14977710)
(39, 15372468)
(40, 15635382)
(41, 14845866)
(42, 14581665)
(43, 15568047)
(44, 15172517)
(45, 15501225)
(46, 16224178)
(47, 12935298)
(48, 12737665)
(49, 14843554)
(50, 15370414)
(51, 15041962)
(52, 15700406)
(53, 15964605)
(54, 15570876)
(55, 15506110)
(56, 15572420)
(57, 13994415)
(58, 11100551)
(59, 11233164)
(60, 14325950)
(61, 13405361)
(62, 13800635)
(63, 13603769)
(64, 13407164)
(65, 13210298)
(66, 13473988)
(67, 13737673)
(68, 12947905)
(69, 11435694)
(70, 11435696)
(71, 12225471)
(72, 11502520)
(73, 10778797)
(74, 10581418)
(75, 11173555)
(76, 11435957)
(77, 10975406)
(78, 10843820)
(79, 11107762)
(80, 10648749)
(81, 9992102)
(82, 11177401)
(83, 11112634)
(84, 7035267)
(85, 4864870)
(86, 6050688)
(87, 5130360)
(88, 4537972)
(89, 5262211)
(90, 6446485)
(91, 6643348)
(92, 6314121)
(93, 6708618)
(94, 5589361)
(95, 2628157)
(96, 4995417)
(97, 10849963)
(98, 12361149)
(99, 12491195)
(100, 12489398)
(101, 12817337)
(102, 12684724)
(103, 13408447)
(104, 13014202)
(105, 12619958)
(106, 12554420)
(107, 12817849)
(108, 13080762)
(109, 13145785)
(110, 13013940)
(111, 13144758)
(112, 12748977)
(113, 12814516)
(114, 12815027)
(115, 12815027)
(116, 12815282)
(117, 12946866)
(118, 13144758)
(119, 13342135)
(120, 12750768)
(121, 12487596)
(122, 12684975)
(123, 13277112)
(124, 12948406)
(125, 12290476)
(126, 12422064)
(127, 13079994)
(128, 12817590)
(129, 12883383)
(130, 12882867)
(131, 12488109)
(132, 12552617)
(133, 12947375)
(134, 13407668)
(135, 13670840)
(136, 13407668)
(137, 13341875)
(138, 13210547)
(139, 13013938)
(140, 13013940)
(141, 12948660)
(142, 12883383)
(143, 12949174)
(144, 12750768)
(145, 12684973)
(146, 12882354)
(147, 13145526)
(148, 13145272)
(149, 12882100)
(150, 12684723)
(151, 12750516)
(152, 12618931)
(153, 12421552)
(154, 12421298)
(155, 12618677)
(156, 12816058)
(157, 12947644)
(158, 13145025)
(159, 13276611)
(160, 13275841)
(161, 12420532)
(162, 12421048)
(163, 11960498)
(164, 12618687)
(165, 11500208)
(166, 11237552)
(167, 10645415)
(168, 10579623)
(169, 11500725)
(170, 12223933)
(171, 11829173)
(172, 11302316)
(173, 11236777)
(174, 11696556)
(175, 11763121)
(176, 12093115)
(177, 11632823)
